codigo_tienda,nombre_tienda,mall,leadtime_dias,revision_dias,fuente
2,RKF JOCKEY,Jockey Plaza,3.0,2.33,reportes
7,HP CHACARILLA,Chacarilla,,7.0,Forus (período oficial)
8,HP JOCKEY,Jockey Plaza,3.0,2.33,Forus (período oficial)
12,HP CHICLAYO,Provincia,6.0,2.33,Forus (período oficial)
16,HP LARCOMAR,Larcomar,5.0,3.5,Forus (período oficial)
18,HPK JOCKEY,Jockey Plaza,2.0,2.33,reportes
21,SE SURCO,Surco,3.0,7.0,reportes
22,HP TRUJILLO,Provincia,5.0,2.33,Forus (período oficial)
23,HP CHORRILLOS,Chorrillos,4.0,7.0,Forus (período oficial)
26,RKF CUSCO,Provincia,4.0,2.33,reportes
29,RKF TRUJILLO,Provincia,4.0,2.33,reportes
30,HP PLAZA ANGAMOS,Plaza Angamos,,7.0,Forus (período oficial)
31,RKF AREQUIPA,Provincia,4.0,2.33,reportes
37,HP PIURA 2,Provincia,6.0,2.33,Forus (período oficial)
43,HP SAN MIGUEL 2,Plaza San Miguel,6.0,3.5,Forus (período oficial)
44,HP PLAZA NORTE,Plaza Norte,4.0,3.5,Forus (período oficial)
46,HPK PLAZA NORTE,Plaza Norte,4.0,3.5,reportes
52,RKF LARCOMAR 2,Larcomar,4.0,3.5,reportes
58,CLB CAJAMARCA,Provincia,5.0,2.33,reportes
59,CLB JOCKEY PLAZA,Jockey Plaza,2.0,2.33,reportes
60,RKF CUSCO 2,Provincia,4.0,2.33,reportes
61,HP CUSCO,Provincia,6.0,2.33,Forus (confirmado: 3 despachos por semana)
88,DH AEROPUERTO 2,Aeropuerto,1.0,7.0,reportes
95,FB OVALO PAPAL TRUJILLO,Provincia,3.0,2.33,reportes
97,HP SALAVERRY 2,Real Plaza Salaverry,,3.5,Forus (período oficial)
111,DH LURIN,Lurín,1.0,7.0,reportes
112,CLB LARCOMAR,Larcomar,6.0,3.5,reportes
113,CLB PLAZA NORTE,Plaza Norte,3.0,3.5,reportes
114,CLB SAN MIGUEL,Plaza San Miguel,3.0,3.5,reportes
115,CLB CAYMA,Provincia,5.0,2.33,reportes
116,HP CAYMA,Provincia,6.0,2.33,Forus (período oficial)
117,PAT CUSCO,Provincia,6.0,2.33,reportes
118,CLB CUSCO,Provincia,4.0,2.33,reportes
122,PAT LARCOMAR,Larcomar,5.0,3.5,reportes
126,CLB PIURA,Provincia,3.0,2.33,reportes
128,CLB CUSCO PLAZA,Provincia,5.0,2.33,reportes
129,HP LA MOLINA,La Molina,2.0,7.0,Forus (período oficial)
130,RKF LA MOLINA,La Molina,2.0,7.0,reportes
131,CLB CHICLAYO,Provincia,4.0,2.33,reportes
132,CLB ICA,Provincia,4.0,2.33,reportes
133,RKF ASIA 2,Asia,2.0,7.0,reportes
137,BSOUL JOCKEY PLAZA,Jockey Plaza,2.0,2.33,reportes
138,BSOUL LA MOLINA,La Molina,5.0,7.0,reportes
139,CLB LA MOLINA,La Molina,2.0,7.0,reportes
140,CLB HUANCAYO,Provincia,4.0,2.33,reportes
141,CLB PORONGOCHE,Provincia,5.0,2.33,reportes
142,CLB MALL DEL SUR,Mall del Sur,2.5,7.0,reportes
143,CLB PARQUE LA MOLINA,La Molina,2.5,7.0,reportes
146,CLB MINKA,Minka,3.0,7.0,reportes
147,RKF CAYMA,Provincia,3.0,2.33,reportes
148,RKF ICA,Provincia,4.0,2.33,reportes
149,VANS PLAZA NORTE,Plaza Norte,2.0,3.5,reportes
150,VANS JOCKEY PLAZA,Jockey Plaza,2.0,2.33,reportes
152,VANS PARQUE LA MOLINA,La Molina,2.5,7.0,reportes
153,VANS SAN MIGUEL,Plaza San Miguel,3.0,3.5,reportes
155,VANS TRUJILLO,Provincia,2.0,2.33,reportes
156,VANS PIURA,Provincia,3.0,2.33,reportes
157,VANS CHICLAYO,Provincia,2.0,2.33,reportes
159,FB MINKA,Minka,3.0,7.0,reportes
