ruta,patron,dias
Jockey,JOCKEY,"LU,MI,VI"
Larcomar,LARCOMAR,"LU,JU"
San Miguel,SAN MIGUEL,"LU,JU"
Salaverry,SALAVERRY,"MA,VI"
Camacho,CAMACHO,MA
Angamos,ANGAMOS,MA
Chacarilla,CHACARILLA,MA
Huallaga,HUALLAGA,MA
Mega Plaza,MEGA PLAZA,"MA,JU"
Mega Plaza,MEGAPLAZA,"MA,JU"
Plaza Norte,PLAZA NORTE,"MA,JU"
Lurin,LURIN,MI
Mall del Sur,MALL DEL SUR,MI
Aeropuerto,AEROPUERTO,MI
Molina,MOLINA,MI
Asia,ASIA,MI
Minka,MINKA,MI
Chorrillos,CHORRILLOS,JU
Surco,SURCO,JU
Provincia,AREQUIPA,"LU,MI,VI"
Provincia,CAYMA,"LU,MI,VI"
Provincia,PORONGOCHE,"LU,MI,VI"
Provincia,CAJAMARCA,"LU,MI,VI"
Provincia,CHICLAYO,"LU,MI,VI"
Provincia,CUSCO,"LU,MI,VI"
Provincia,HUANCAYO,"LU,MI,VI"
Provincia,ICA,"LU,MI,VI"
Provincia,PIURA,"LU,MI,VI"
Provincia,TRUJILLO,"LU,MI,VI"
Provincia,CHIMBOTE,"LU,MI,VI"
Provincia,TACNA,"LU,MI,VI"
Provincia,JULIACA,"LU,MI,VI"
Provincia,IQUITOS,"LU,MI,VI"
Provincia,HUANUCO,"LU,MI,VI"
Provincia,PUCALLPA,"LU,MI,VI"
