mall,patrones,dias
Jockey Plaza,JOCKEY,"LU,MI,VI"
Larcomar,LARCOMAR,"LU,JU"
Plaza San Miguel,SAN MIGUEL,"LU,JU"
Real Plaza Salaverry,SALAVERRY,"MA,VI"
Camacho,CAMACHO,MA
Plaza Angamos,ANGAMOS,MA
Chacarilla,CHACARILLA,MA
Huallaga,HUALLAGA,MA
Mega Plaza,MEGA PLAZA|MEGAPLAZA,"MA,JU"
Plaza Norte,PLAZA NORTE,"MA,JU"
Lurín,LURIN,MI
Mall del Sur,MALL DEL SUR,MI
Aeropuerto,AEROPUERTO,MI
La Molina,MOLINA,MI
Asia,ASIA,MI
Minka,MINKA,MI
Chorrillos,CHORRILLOS,JU
Surco,SURCO,JU
Provincia,PROVINCIA|AREQUIPA|CAYMA|PORONGOCHE|CAJAMARCA|CHICLAYO|CUSCO|HUANCAYO|ICA|PIURA|TRUJILLO|CHIMBOTE|TACNA|JULIACA|IQUITOS|HUANUCO|PUCALLPA,"LU,MI,VI"
