codigo_tienda,nombre_tienda,centro_comercial,zona,cadena
2,RKF JOCKEY,JOCKEY,LIMA,RKF
8,HP JOCKEY,JOCKEY,LIMA,HP
12,HP CHICLAYO,CHICLAYO,PROVINCIA,HP
16,HP LARCOMAR,LARCOMAR,LIMA,HP
18,HPK JOCKEY,JOCKEY,LIMA,HPK
21,SE SURCO,SURCO,LIMA,SE
22,HP TRUJILLO,TRUJILLO,PROVINCIA,HP
23,HP CHORRILLOS,CHORRILLOS,LIMA,HP
26,RKF CUSCO,CUSCO,PROVINCIA,RKF
29,RKF TRUJILLO,TRUJILLO,PROVINCIA,RKF
31,RKF AREQUIPA,AREQUIPA,PROVINCIA,RKF
37,HP PIURA 2,PIURA,PROVINCIA,HP
43,HP SAN MIGUEL 2,SAN MIGUEL,LIMA,HP
44,HP PLAZA NORTE,PLAZA NORTE,LIMA,HP
46,HPK PLAZA NORTE,PLAZA NORTE,LIMA,HPK
52,RKF LARCOMAR 2,LARCOMAR,LIMA,RKF
58,CLB CAJAMARCA,CAJAMARCA,PROVINCIA,CLB
59,CLB JOCKEY PLAZA,JOCKEY,LIMA,CLB
60,RKF CUSCO 2,CUSCO,PROVINCIA,RKF
61,HP CUSCO,CUSCO,PROVINCIA,HP
88,DH AEROPUERTO 2,AEROPUERTO,LIMA,DH
95,FB OVALO PAPAL TRUJILLO,TRUJILLO,PROVINCIA,FB
111,DH LURIN,LURIN,LIMA,DH
112,CLB LARCOMAR,LARCOMAR,LIMA,CLB
113,CLB PLAZA NORTE,PLAZA NORTE,LIMA,CLB
114,CLB SAN MIGUEL,SAN MIGUEL,LIMA,CLB
115,CLB CAYMA,AREQUIPA,PROVINCIA,CLB
116,HP CAYMA,AREQUIPA,PROVINCIA,HP
117,PAT CUSCO,CUSCO,PROVINCIA,PAT
118,CLB CUSCO,CUSCO,PROVINCIA,CLB
122,PAT LARCOMAR,LARCOMAR,LIMA,PAT
126,CLB PIURA,PIURA,PROVINCIA,CLB
128,CLB CUSCO PLAZA,CUSCO,PROVINCIA,CLB
129,HP LA MOLINA,LA MOLINA,LIMA,HP
130,RKF LA MOLINA,LA MOLINA,LIMA,RKF
131,CLB CHICLAYO,CHICLAYO,PROVINCIA,CLB
132,CLB ICA,ICA,PROVINCIA,CLB
133,RKF ASIA 2,ASIA,LIMA,RKF
138,BSOUL LA MOLINA,LA MOLINA,LIMA,BSOUL
139,CLB LA MOLINA,LA MOLINA,LIMA,CLB
140,CLB HUANCAYO,HUANCAYO,PROVINCIA,CLB
141,CLB PORONGOCHE,AREQUIPA,PROVINCIA,CLB
142,CLB MALL DEL SUR,MALL DEL SUR,LIMA,CLB
143,CLB PARQUE LA MOLINA,LA MOLINA,LIMA,CLB
146,CLB MINKA,MINKA,LIMA,CLB
147,RKF CAYMA,CAYMA,PROVINCIA,RKF
148,RKF ICA,ICA,PROVINCIA,RKF
149,VANS PLAZA NORTE,PLAZA NORTE,LIMA,VANS
150,VANS JOCKEY PLAZA,JOCKEY,LIMA,VANS
152,VANS PARQUE LA MOLINA,LA MOLINA,LIMA,VANS
153,VANS SAN MIGUEL,SAN MIGUEL,LIMA,VANS
155,VANS TRUJILLO,TRUJILLO,PROVINCIA,VANS
156,VANS PIURA,PIURA,PROVINCIA,VANS
157,VANS CHICLAYO,CHICLAYO,PROVINCIA,VANS
159,FB MINKA,MINKA,LIMA,FB
